dataset,rebin_ps,k,n_events,delta_mean_ns,delta_rms_ns,delta_p50_ns,delta_p90_ns
noLG,200.0,120,1580,0.0024977738958940577,0.22628494354742357,0.002184893892399953,0.28627289675312617
noLG,200.0,130,1580,0.0034960418432617548,0.23874505868672985,0.0013958953247713568,0.29639162400643804
noLG,200.0,140,1580,0.004631189779802951,0.2515039958481358,0.0005071192328729435,0.3184523792238463
noLG,200.0,150,1580,0.005898844602479748,0.26488519145834794,-0.00022199878131112794,0.3331539422097607
noLG,200.0,160,1580,0.006705725995554773,0.27899301507805385,-0.001660674603722323,0.34687059612254445
noLG,200.0,170,1580,0.007187575613671786,0.2931718951295241,0.0027306835647373795,0.3677554058844382
noLG,200.0,180,1580,0.007885934737653338,0.30795839317568546,0.003790079231293153,0.38504666839193347
noLG,200.0,190,1580,0.009152680208184206,0.3223287901069408,0.0044780192958129295,0.4099999940991399
noLG,200.0,200,1580,0.010873084734038807,0.3371969841011853,0.009999997317790887,0.42588285491108163
noLG,200.0,210,1580,0.011976722003801779,0.3523474411032765,0.009843783954248786,0.44971763706589246
noLG,200.0,220,1580,0.012352053750461795,0.3670253962848491,0.008429140150888026,0.46819188744248247
noLG,200.0,230,1580,0.012495473836094633,0.38115326447990244,0.00853973675765729,0.48617983480428023
noLG,200.0,240,1580,0.01293292947446938,0.39524546719312065,0.010237771153067454,0.5004070021686466
noLG,200.0,250,1580,0.013608681650666424,0.4099164278584532,0.011414724807868537,0.5161817484308336
noLG,200.0,260,1580,0.014495120939868015,0.4250096665040452,0.013150926027847065,0.5355760683891881
noLG,200.0,270,1580,0.015689723112122574,0.44082027365171295,0.015298303443544103,0.545201837742921
noLG,200.0,280,1580,0.01727236775462527,0.4574053466901391,0.01578818300234275,0.5773827745831759
noLG,200.0,290,1580,0.01901978727357864,0.4744432516854001,0.020121182815565852,0.6029414806441104
noLG,200.0,300,1580,0.021191156634452625,0.4921730118159335,0.01934264950747333,0.6316570504386817
noLG,200.0,310,1580,0.023171363690918982,0.5108604861443782,0.022351244649935653,0.6566099365083404
noLG,200.0,320,1580,0.024993630591095408,0.530184700066772,0.022618826035202266,0.6838946943703829
noLG,200.0,330,1580,0.026805501242304526,0.5504422872416509,0.02418899493918314,0.7084801530557
noLG,200.0,340,1580,0.028594342191754586,0.5712514223720971,0.026500640274977227,0.7442967077670523
noLG,200.0,350,1580,0.03010858371845526,0.5927414908664371,0.030956573821406153,0.774381633392568
noLG,200.0,360,1580,0.03194904383074489,0.6143598148576819,0.03459161449346282,0.7937687027429796
noLG,200.0,370,1580,0.034099078425175885,0.636136367015759,0.04018943423862886,0.8185706584239298
noLG,200.0,380,1580,0.03595390855017313,0.6584848556219766,0.04089497094197547,0.8374047625604131
noLG,200.0,390,1580,0.037310988261959,0.68135439819691,0.045478257591309745,0.8793937072038355
noLG,200.0,400,1580,0.038776684546032524,0.7056886075952417,0.04099326748338217,0.9198341762307573
noLG,200.0,410,1580,0.04070474054667132,0.7310031396836246,0.04595454277233646,0.9589810573443404
