dataset,rebin_ps,quantile_percent,n_events,delta_mean_ns,delta_rms_ns,delta_p50_ns,delta_p90_ns
noLG,200.0,37,3000,-0.02090204500393751,0.14388479513245492,-0.018907960402751556,0.16253877070602585
noLG,200.0,38,3000,-0.020964199548987605,0.14622359890457987,-0.020306583826444236,0.16540132671232274
noLG,200.0,39,3000,-0.020907746676509683,0.14832950570101414,-0.021428701087061963,0.16693180571293495
noLG,200.0,40,3000,-0.020916541632228138,0.15044655208429683,-0.020392821825653273,0.17011809383498266
noLG,200.0,41,3000,-0.021103359023735176,0.15304535325764482,-0.021434222253747803,0.17313604186647955
noLG,200.0,42,3000,-0.02149278637002082,0.15546372554659538,-0.020906128504359467,0.17613092628496538
noLG,200.0,43,3000,-0.021793245113167974,0.15770533230531358,-0.021060367901414745,0.1756775852668041
noLG,200.0,44,3000,-0.021831747600202636,0.15970858239457686,-0.021562456673218655,0.17844791500746607
noLG,200.0,45,3000,-0.022069762732115274,0.16162016755691724,-0.020022730651872545,0.18345486154066318
noLG,200.0,46,3000,-0.021977529258470185,0.16357124304336373,-0.020039270480469495,0.18254527711134916
noLG,200.0,47,3000,-0.021882962879954875,0.16606174136428173,-0.021316792063954315,0.18568800326490728
noLG,200.0,48,3000,-0.021852450576890045,0.16913951028589014,-0.023150985258495238,0.19273560034796428
noLG,200.0,49,3000,-0.02158458002977118,0.17173295913999762,-0.023958756362644662,0.19855507564658642
noLG,200.0,50,3000,-0.021407190457958265,0.17427010611700414,-0.02175586595570511,0.2002671282720597
